Name,Info,company
Emmanuel Brown,"Day Edwards and Emmanuel Brown are two millennial pastors’ kids with a rich history in church marketing, startup sales, and operational strategy. Together, they are disrupting the prop-tech industry by eradicating the low utilization of churches nationwide.",ChurchSpace
Tiffany Kelly,"Tiffany is the founder and CEO of Curastory. Before joining the startup world, she joined ESPN Stats & Information Group as a Sports Analytics Associate, where she created ESPN’s College Football Fan Happiness Index. She was the first African American analyst to join the team. Throughout her tenure with the leading sports multimedia company and her stint with LSU Athletics, she became an advocate for harmonizing sports, creativity, human traits, and data science.",Curastory
Joseph Akintolayo,"Joseph Akintolayo is a serial entrepreneur and the Founder/CEO of Deposits, a Dallas-based fintech company on a mission to level the playing field in financial services by bringing financial innovation to the community level in order to unlock efficiency, growth, and economic inclusion.",Deposits
Chuka Ikokwu,"Chuka Ikokwu is a technology entrepreneur and accomplished analytics and mobile technology expert with a strong penchant for driving diversity in the workplace. He is currently the founder and CEO of Divercity.io, a human resources tech startup aimed at closing the diversity and inclusion gap in tech. Prior to that, he ran analytics and data science at Warner Bros., Unity Technologies, Ubisoft, and Glu Mobile (Crowdstar). He ran business development operations at Yahoo prior to that. He studied at the Massachusetts Institute of Technology and is passionate about DEI in tech.",Divercity.io
Marcus Cooksey,"Marcus Cooksey, CEO and founder of DUKE.AI, LLC, is a software engineer who spent several years helping to implement Advanced Driver Assistance Systems (ADAS) for some of the most technologically advanced vehicles on the market. He founded DUKE.ai after realizing the deficiencies in bookkeeping and accounting software while managing his trucking startup, consisting of five ""Big Rig"" tractors. Marcus and his team of engineers and data scientists have built a virtual robot that performs a variety of document processing tasks such as payment processing, load order entry, book keeping, and account.",DUKE.ai
Anthony Edwards Jr,"Anthony Edwards, Jr. | CEO / FounderAnthony Edwards, Jr. is a rising star in the technology that created EatOkra - his first solo developed app that has become an award-winning, fast rising apps and companies within the app space.Anthony is a team leader with the ability to teach, mentor, motivate, maximize productivity and improve efficiency of an organization. Anthony is a full stack developer who’s primary languages are React Native, Ruby on Rails, Ruby, Javascript, HTML, and CSS. and joined BuildingBlok as a junior full stack developer in 2014.In 2019, he was promoted to the role of CTO at BuildingBlok who’s software manages over 50 thousand projects worth over 800 million. At BuildingBlok, Anthony organizes scrum meetings, designs & writes tests, assigns tasks, and trains his team members. In 2018, Anthony started his own software development and consulting company LillyBytes. He works one on one with business owners and provides a software solution as well as technical review documents used to implement his clients vision.Anthony is a proud military veteran of nine years and served in Operation Iraqi Freedom 2006-2007 as an avionics technical repairer. He was a shop maintenance manager and managed over twenty soldiers daily activities. Anthony is a graduate of Fordham University with a Bachelor of Science degree in Computer Science.Janique Edwards, COO | Co-FounderJanique is a team leader with the ability to connect, organize, maximize productivity and improve program efficiency and started her career with the Department of Homeland Security as a Mission Support Specialist providing administrative support services to smaller subdivisions within the agency. In 2017, she was promoted to the role of a Management and Program Analyst, where she currently uses her skills to examine and execute administrative support programs with the goal of increasing agency productivity.As COO / Co-Founder of EatOkra, Janique focuses on sourcing and managing business data to attract more users, while developing the company’s brand identity and mission. The company now includes a team of eight; She oversees the daily operations of the company while also focusing on developing company culture, defining the overall mission and values, revising brand identity, managing team morale, framing business goals, and building strong industry relationships. Janique is a graduate of Herbert H. Lehman College with a Bachelor of Arts degree in English.The Edwards reside in Brooklyn, NY with their lovely daughter Bradley.",EatOkra Inc
Margo Jordan,"Margo Jordan is a venture-backed and award-winning serial social entrepreneur. Born and raised in Milwaukee, WI, she served 10 honorable years in the United States Army and has a passion for social impact.To date, she has impacted over 20,000 children all over the world. Innovative in her craft, Jordan sought to develop self-esteem-based solutions to help youth reach their full potential. Her most recent venture is Enrichly, and is backed by Google, Mass Challenge, and Project W. Enrichly was born out of the global pandemic and is a self-esteem based digital health/e-learning SaaS platform and gaming app that uses machine learning, gamification, data, and on-site curriculum for k-12.Enrichly has been recognized as a top 50 startup of the year and went on to win the World Impact Award through Startup of the Year. Margo has also won over $300k in pitch competitions and grants, including Amazon Prime’s recent hit show 2 Minute Drill, Sarah Blakley’s Red BackPack Fund Grant, and Facebook’s Black Business Grant, all of which Jordan was selected out of thousands of applicants. Jordan has been featured as a guest speaker on multiple stages, most recently completing her own TEDx talk.",Enrichly (powered by Youth Enrichments)
Jeffrey Osuji,"Jeff Osuji is the CEO of Eventnoire, the premier marketplace for events celebrating Black people and culture. After years of producing events across the country, Osuji co-founded Eventnoire to connect Black culture enthusiasts to spaces and places that embrace its essence and people. Jeff and Eventnoire have received recognition during the BET Awards for winning 1st place in Mountain Dew's 2021 Startup Competition as well as in Forbes, Essence, Afrotech, ABC7, and BizBash. This eventrepreneur received his MBA and undergraduate degree from the University of Illinois at Urbana Champaign and has served as President of the Illinois Black Alumni Network Entrepreneur in Residence (EIR) at 1871, the world's largest private tech incubator in Chicago. He lives by the motto, ""To become truly great, one must stand with people, not above them.""",Eventnoire
Arion Long,"Some people go through their entire lives without disrupting the status quo, and then you come across a unicorn who started college at 15 years old, decoded the genetic makeup of anthrax by 17, and disrupted a multi-billion dollar feminine care industry before 30. Arion Long is the self-proclaimed ""Chief Estrogen Officer"" at Femly, a hi-tech feminine care company that she started after being diagnosed with a cervical tumor linked to additives in popular products. Femly increases access to natural and organic hygiene products through working with organizations and sells both products and a proprietary dispenser to help to end ""period poverty.""",Femly
Emily Brown,"Emily Brown is the founder and CEO of Free From Market, as well as the founder and former CEO of Food Equality Initiative (FEI). She is also a national patient advocate.An active board and council member, Emily serves on several hospital committees and food policy coalitions. A member of the KU School of Medicine’s Admission Committee, Emily works to advance health equity in all her pursuits. Research interests include food systems, health disparities, and patient-centered approaches to care. Emily is a published co-author of several peer-reviewed articles. Emily believes in the power of patients and data to achieve greater health outcomes.",Free From Market
Nashid Ali,"Nashid Ibn Ali, Esq is a licensed Pennsylvania attorney and a graduate of the University of Pittsburgh School of Law. His passions include investment, fintech, emerging growth, and wealth management. He’s most passionate about delivering what people want while it's too difficult for competition. He believes that this is the sweet spot for creating wealth and technology.Nashid enjoys helping those interested in robotics, artificial intelligence, quantum computing, fintech, and cryptocurrency. He has valuable courtroom experience, a wide knowledge base, and a great network of resources and colleagues. Nashid is always working to improve his network as he grows his professional portfolio.Nashid has worked with the Allegheny County District Attorney’s Office, the Pennsylvania Office of Attorney General, the Neighborhood Legal Services Association, Reed Smith, LLP, Pitt Law’s Immigration Clinic, the Asser Institute in the Hague, Netherlands, City Yuwa Partners, and the UNU Centre for Policy Research in Tokyo, Japan. He has also appeared on NBC’s Today Show, C-Span, and published several articles in regional and national news outlets. Nashid has lived in Europe and Asia, and he has experience working in diverse environments with evolving demands. He has represented clients in civil and criminal courts as well as international arbitration and negotiations.With Gainvest, Nashid is developing an online platform to service the professional and financial needs of businesses, individuals, students, and professionals from around the world. Nashid is always excited to meet new people and learn how he and Gainvest can help solve their problems.",Gainvest
Brandon Andrews,"Brandon Andrews is co-founder of Gauge; an AI-driven mobile market research platform connecting brands to consumers and influencers to identify opportunities and avoid mistakes. He is also a senior consultant at Values Partnerships, and leads the company’s work on technology and entrepreneurship, including leading a nationwide casting tour focused on bringing more diverse ideas and voices to ABC’s Shark Tank and building inclusive ecosystems. In 2021, he led casting for Bet on Black – a new business show on REVOLT highlighting Black entrepreneurs. He was named a Global Innovation Fellow by the U.S. Department of State and has traveled the world speaking and hosting events on entrepreneurship and innovation.Brandon spent five years in the United States Senate, where he handled technology, small business, and defense policy. He is the Chairman of the DC Commission on National and Community Service. A former fashion model, he serves on the DC Commission on Fashion, Arts, and Events and works with fashion and beauty entrepreneurs. He provides commentary on policy, politics, business, and tech on TV, radio, and the web. A former Division I track athlete, Brandon is a graduate of Oral Roberts University.",Gauge
Rishielle Giscombe,"Rishielle Giscombe is the founder and CEO of Glamo, a beauty-on-demand marketplace that connects clients with beauty professionals anywhere and at any time.Prior to launching Glamo, she was providing beauty-on-demand services alone to hundreds of clients in Southern Florida while learning about the beauty industry. In the process, she realized there were a series of problems in the industry that could be resolved through technology. Coming from modest beginnings, Rishielle was led with the determination to help. Utilizing her natural talent and the passion for providing hair services to enhance the outer beauty of her clients, she discovered that it impacted their lives positively and, as a result, revealed the inner confidence they never knew they had. She was then motivated to extend her services globally with the intent of helping improve lives through beauty. This led to her building a team of 10 beauty professionals in her area. The number of those 10 stylists significantly increased to thousands of beauty professionals as a result of the overwhelming demand for at-home beauty services. She is now driven not just by the need to help clients but also to create an innovative way for beauty professionals to earn substantially more by doing what they love while being their own bosses. Rishielle aims to disrupt the beauty industry in an innovative way through technology.",Glamo
April Johnson,"A corporate finance lawyer by trade, April is an intuitive leader and communications pro, taking Happied from 0 to $1.3M in revenue in just 1.5 years. In addition to her work as an attorney, she has honed her marketing skills, contributing to campaigns for top companies such as Salesforce. Prior to law school, April co-founded a gig-economy tutoring company, Westside Student Tutors (WST), in Los Angeles, growing it to 30+ tutors with a headquarters in Santa Monica. She believes that where we spend our time matters, and that social connection is a joy of life, but that planning a great experience shouldn’t be cumbersome. April is thrilled to spend every day building a tech platform that makes exceptional corporate events easier and more efficient than ever. April serves on the Steering Committee of All Raise’s DC Chapter and spends her free time dabbling in dance classes. She received her Juris Doctor from Georgetown University Law Center and her B.A. in Political Science from the University of California, Los Angeles.",Happied
Yinka Ojutalayo,"Yinka Ojutalayo is the founder of Haven Rx. Haven Rx is a white-label digital pharmacy licensed in all 50 states to deliver medications to patients' homes. We deliver a full-stack solution to digital health companies, scaling pharmacy services in low-income and underserved communities. Yinka has over 10 years of pharmacy management experience and is a serial entrepreneur. Prior to Haven Rx, Yinka was the Director of Pharmacy at Beth Israel Lahey Health – Anna Jaques Hospital. Yinka holds a Doctor of Pharmacy degree from VCU School of Pharmacy and an MBA from Yale University.",Health Haven Rx Inc.
Mykolas Rambus,"Mykolas Rambus is the Co-Founder and CEO of Hush, a consumer counterintelligence company. Previously, Mykolas was General Manager of Equifax’s $200M marketing services division, providing IXI data exchange, digital, and highly regulated credit marketing data and insights.",Hush
Lauren Wilson,"Lauren’s exposure to the outsourcing space began over 15 years ago through her family’s business. After graduating from the University of Georgia, she began working as the Chief of Staff for the company. It is here that she identified the missed opportunities for both businesses and employees and created ImIn with the goal of solving known but accepted industry-wide gaps. As a millennial, Lauren is using her expertise and forward-thinking to shift the traditional thought processes found in the outsourcing industry. This will allow for flexibility for the workforce and revenue opportunities for companies.","ImIn, Inc."
Evan Leaphart,"As the creator of Kiddie Kredit, Evan is serious about teaching children and their families to have honest conversations about credit. He combines a passion for financial literacy and innovation with a commitment to solving real problems that help the community around him. Evan encourages youth to follow their dreams and pursue their passions—to create great careers rather than jobs that make every day feel like work.Evan is also the co-founder of Black Men Talk Tech, which is an entrepreneurship collective that promotes collaboration between Black men and other members of the tech ecosystem. Black Men Talk Tech’s mission is to create a cycle of access, insights, capital, and inclusion for Black men in tech. The company delivers social and economic impact, as well as high quality and substantive content.",Kiddie Kredit
Mariam Braimah,"Mariam is the cofounder of Kimoyo Insights, a user testing tool helping global products get user feedback from people across Africa. In 2018, she started The Kimoyo Fellowship, a formal design program training the next generation of Africa's leading product designers. To date, 100% of fellows have successfully transitioned into full-time design roles.Previously, she was a lead product designer on Netflix's TV & Growth teams, developing features from Top 10 to the Mobile Only plan. She led a cross-functional research and design team at Inflection, a public data tech startup, and studied History of Art and Architecture at Harvard University.",Kimoyo Insights
Reva McPollom,"Reva McPollom is founder & CEO of Lessonbee, an edtech startup disrupting K-12 health education with investors including Ruthless for Good, Connecticut Innovations, and the Draper Richards Kaplan Foundation. As a child, Reva struggled to feel healthy and connected within the oppressive US education system and suffered from anxiety in and out of school. Today, Reva’s company is building a future where young people learn to manage and nurture all dimensions of well-being in grades K–12.Reva began her career as a news writer for Gannett Co. and The Star-Ledger. As the print news industry faltered with the rise of blogs and social media, Reva pivoted to web content management and search engine optimization before transitioning to instructional technology in 2009 and establishing elearning firm Reva Digital Media LLC in 2011. After 7 years designing innovative digital learning solutions for clients in K-12, higher ed, and workplace learning—including 5 spent transforming employee training at Razorfish (Razorfish University) and Liquidnet (Liquidnet University)—and becoming a first-time mom, Reva established Lessonbee in 2018 to reimagine the K-12 health class experience as a platform for self-directed learning and wellness mastery.In 2020, Reva was named one of the ""100 most influential African Americans"" by The Root for developing an ""innovative"" platform that makes ""coming of age less confusing."" She is a past Headstream Innovator and a Hopelab Entrepreneurial Fellow. Reva holds a Masters Degree in Instructional Technology & Media from Teachers College, Columbia University, and a Bachelor's Degree in Journalism & Media Studies from Rutgers University.",Lessonbee
Dana Weeks,"Dana Weeks is the Chief Executive Officer and Co-Founder of MedTrans Go. Previously, she led several entrepreneurial ventures and held leadership positions at Pfizer, AT&T, and the Black Angel Tech Foundation. Dana is active on a variety of boards and councils, including as Co-Chair of the Stanford LEAD Council, a board director at Blue Owl Capital, an Advisory Board Member of Stride: Win Your Way, a member of the Stanford Humanities & Sciences Council, and a founding member of the Columbia Business School Women’s Circle. She is also a trustee of the Westminster Schools, where she serves as chair of the Diversity, Equity & Inclusion Committee, is a board member of the Alliance Theater, and holds leadership positions with the Stanford Club of Georgia, the Atlanta Chapter of Jack and Jill of America, Inc., and more. Dana received her BA with honors from Stanford University and an MBA from Columbia Business School.Dr. Obi Ugwonali, President and Co-Founder, is a highly qualified, double-board-certified orthopaedic surgeon who specialises in shoulder, elbow, wrist, and hand surgery. He is currently a partner and in leadership at one of the top orthopaedic practices in the country. He is a co-founder and former Managing Partner of the Black Angel Tech Fund. He earned his BA in Economics and Biology at Stanford University and his MD from the Yale School of Medicine. He then did his surgical training and fellowship at Columbia University and Harvard University.",MedTrans Go
Aaron Petty,"Aaron is the founder and CEO of Mitivate, a healthcare analytics organization bridging provider and payer collaborations for value-based care models. Aaron was born in Kentucky and is a proud University of Kentucky graduate. Aaron was a member of multiple corporate development teams at healthcare service firms, including one IPO process and an associate at a middle market private equity firm. He is an active member of the local business community, serving as Co-Chair of the Georgia Minority Supplier Diversity Council's Technology Industry Group, and has served on the boards of the Metro Atlanta Chamber of Commerce Health IT Leadership Board, StartUp Atlanta Diversity Committee, and the Urban League of Greater Atlanta - Young Professionals Chapter.",Mitivate
Sydney Davis,"Sydney Davis is the founder of NixCode, an extension of her dedication to supporting non-technical entrepreneurs launching their first mobile app. Through NixCode, Sydney is on a mission to get the first no-code startup from MVP to IPO. Sydney is recognized as one of 30 influential women advancing AI and is a Forbes Next 1000 Entrepreneur Honoree.With over a decade of entrepreneurship and tech experience, Sydney encourages diversity of thought among community leaders and equity among underrepresented founders. Supporting marginalized founders to achieve a profitable business without the financial burden, debt or hardship is her mission to grow more long-term minority tech companies.","NixCode, formerly Tequity"
Khiry Kemp,"Khiry Kemp was born and raised in Brooklyn, New York before moving to California to pursue an undergraduate degree in International Development at UCLA. After graduating, his management consulting career led him to perform strategy and operations for Fortune 500 companies throughout the country. However, his desire to give back to the low-income community he was raised in, combined with his passion for helping teens with career development, led him to create solutions that would provide students with training and experience to unlock their potential. As Oppti Co-Founder and COO, Khiry is able to connect students from the inner-cities to the far suburbs with resources and growth opportunities. Favorite quote: ""If you can't fly, then run; if you can't run, then walk; if you can't walk, then crawl; but whatever you do, you have to keep moving forward."" -Martin Luther King Jr.",Oppti
Kameron Norwood,"Kameron Norwood is a 33-year old entrepreneur from Tucson, Arizona. He grew up in California and Arizona. He attended the University of Arizona for college, and then moved to Chicago to begin his career. Kameron started his career in technical staffing, working his way from recruiter to upper over an 8-year period.When he was 29, he left corporate America to chase his dreams as an entrepreneur and began as a hemp entrepreneur, helping farmers to commercialize their goods, eventually going on to start a CBD brand. When COVID hit and ecommerce boomed, DTC fulfillment was the biggest challenge. Unable to find affordable, high-touch, flexible 3PL options as a small business, Kameron and his co-founder, Dave Dicosola, started Packdash to empower other small businesses to have robust fulfillment options when they need them the most.",Packdash
James Norman,"James Norman is a serial entrepreneur who, at age 16, built his first online company. His current venture, Pilotly, is the first market research platform built for creative content, servicing Amazon, NBCUniversal, and others.Outside of media, he’s passionate about social equity, which led him to co-found Black Operator Ventures (Black Ops), the first seed fund built for and by Black founders.James earned his BSE in Electrical Engineering from the University of Michigan. He is a founding partner of Transparent Collective, a non-profit that has helped the most Black tech founders get funding, and is a board advisor at Zoo Labs, a music accelerator.",Pilotly
Philip Hickman,"Educational influencer, entrepreneur, author, leader, Dr. Philip Hickman is a transformational leader in K-12 education and educational technology. A Techstars alumnus, Dr. Hickman is an AASA nationally certified superintendent and continues to be a leading authority, presenting at many of the top ed tech and personalized learning conferences in the nation.Previously, a United States Department of Education Technology National Ambassador and an International Society of Technology in Education (ISTE) digital transformational leader award winner, he led the development and growth of multiple education-tech products. Most currently, as the founder & CEO of Plabook, an innovative reading technology that uses artificial intelligence, natural language processing and speech recognition to help children learn to read.Dr. Hickman’s innovative leadership, personalized learning, and emotional IQ methods are exemplified in his three books: Stop Dribbling Footballs, Execution By Firing Squad: Effective Leadership When You’re The Target, and eMOTIVES: The Truth Behind Student Behavior.As a serial social entrepreneur, Dr. Hickman’s most notable accomplishment is being the co-founder of a non-profit coding academy, WeCodeKC. Also, Mississippi Coding Academy, which is a K-12 coding program and an adult workforce-ready platform, resulting in a 100% job placement rate after successful completion of the coding program.",PlaBook
Hassan Riggs,"Hassan Riggs is the founder of Y Combinator startup Smart Alto, the world's first and only conversational sales platform for local service professionals.Hassan is a Forbes real estate contributor and host of the Build It Like Gurley Show, where he inspires underrepresented founders to build a startup like O.W. Gurley, the founder of the Greenwood district in Tulsa, Oklahoma, known as ""Black Wall Street.""He is passionate about getting new clients ""from trying to buying"" as fast as possible by building stronger relationships through digital marketing and branding. He graduated from Columbia University in the City of New York, finishing at the top of his class.",Smart Alto
B.J. Williams,"B.J. Wiley Williams is Founder and Chief Executive Officer at SoHookd. She is a certified wellness-nerd and fitness fanatic with 20+ years of experience working in the wellness, hospitality, and private equity industries with industry-leading companies such as lululemon, HEI Hotels & Resorts, and Citigroup.B.J. has received numerous awards, including being recognized as a well-being thought leader by the American College of Sports Medicine and for founding the most innovative company by Washington Business Journal. B.J. has an MBA from Harvard Business School and a BA from the University of Virginia.Outside of the office, B.J. stays active by spinning, practicing pilates, traveling with her husband, and volunteering with several organizations that sustain the culture and the economic survival of African Americans.",SoHookd
Fatima Dicko,"Fatima Dicko is the Founder & CEO of Sugar, a resident experience platform that helps property managers build stronger communities. Before joining Sugar, Fatima spent five years at P&G as a senior engineer on a product innovation team. While at P&G, she received several patents and was one of 127 nominated technologists awarded the annual ""Most Transformative Product Innovation"" award.Fatima came to the U.S. from Mali at a young age and grew up in New York City, receiving her B.S. in Chemical Engineering from Columbia University and her MBA from Stanford Business School. She was named as ""18 Inspiring Women to Watch"" by Inc Magazine, was listed on the ""2021 Forbes Next 1000"" list, and has been featured in major publications such as TechCrunch, Business Insider, Crunchbase, Black Enterprise, and CNBC.",Sugar
LaToya Tucciarone,"LaToya Tucciarone is the founder and CEO of SustainAble Home Goods. She lives in Atlanta, GA with her incredible husband and four amazing children. After starting her own photography business and working in the fair trade jewelry sector for years, LaToya started SustainAble because she not only wanted to create the kind of store that she would want to shop in, but she wanted to create a meaningful retail space that would celebrate the beauty and process of handmade goods.",SustainAble Home Goods and Accessories
Lisa Love,"Lisa Love is the Co-Founder of Tanoshi. Lisa received her MBA from the HBCU, Clark Atlanta University, and began her career over 20 years ago working for Fortune 500 CPG companies, including Heinz and Del Monte, in brand and product marketing. She managed a portfolio of brands that generated revenue of up to $75 million. She also spent 11 years working for the #1 online retailer of wine, where she wore many hats and worked in various departments throughout her tenure, including operations, merchandising, and partnerships.Lisa and Team Tanoshi appeared on Shark Tank in 2020. She was named one of the 100 Powerful Women of 2020 by Entrepreneur Magazine and one of the Top 100 Women Entrepreneurs of 2020 by Inc Magazine. In 2021, she made the Forbes Next 1000 list and was one of the winning finalists in Pharrell Williams’s Black Ambition Prize.Lisa is passionate about giving all kids a fair chance to succeed. When COVID hit, 16 million U.S. students were without a computer or internet access in the United States. With Tanoshi’s educational products and services, kids can do their homework, learn to code, and so much more — all without internet access.",Tanoshi
Desmond Mitchell,"Desmond Mitchell (he/him) is the founder and CEO of Tapestree. He has over a decade of experience as a facilitator, executive coach, and as a design thinking strategist. Desmond has dedicated his time and energy to creating structures for people to connect in meaningful and authentic ways and has spent his career focused on the intersection between organizational development, learning and development, and DEI. Prior to founding Tapestree, Desmond was the Head of Diversity, Equity, and Inclusion (DEI) at the ed-tech unicorn, Guild Education. He graduated from Harvard University with a degree in psychology and holds an MBA and an MA in education from Stanford University.Desmond is a proud first-generation Caribbean American and resides in Atlanta with his wife.",Tapestree
Kayla Wright-Jackson,"Kayla Wright-Jackson and Corey Shaw founded Transition, as a career service platform addressing the widespread shortage of essential healthcare support workers. Currently, students struggle when entering the workforce and healthcare employers have a hard time connecting with vetted candidates to fill open roles.Prior to leading Transition, Kayla conducted field research at a Certified Nursing Assistant (CNA) school after witnessing the disconnect between healthcare training schools and employers. This disconnect was discovered during the COVID-19 pandemic, when she was the head of HR hiring hundreds of nursing assistants for home care. Kayla also worked as a caregiver for the elderly and witnessed the neglect that individuals faced when they had not received care for days at a time. Her experiences with the broken system have pushed her to create a solution.Corey has over 5 years of experience building mobile and web applications in the education and healthcare spaces. He was later introduced into the CNA space, by building the infrastructure for online class enrollment at one of the top nursing assistant schools in Georgia. During that time, Corey was able to experience how underserved the market is despite these essential roles making up a significant percentage of the healthcare workforce. Kayla and Corey are both determined to reshape this underserved market; ensuring that every student's training leads to a successful outcome and that everyone receives the care they need.",Transition
Courtney Culmer,"Courtney Culmer has been part of the communications and marketing ecosystem for almost 20 years, working for Fortune 500 companies like United Technologies Corp. (now Raytheon Technologies), NCR Corporation, and ESPN (a Disney company) and later providing strategic communications and diversity, equity, and inclusion (DE&I) consulting services to industry leaders, influencers, and non-profits such as Google, L3Harris, Precisely, Triumph Group, National Black Justice Coalition, and more.Her career has provided her with a unique perspective on the pain points and opportunities for both businesses and freelancers—and her passions for connecting people, creating value-based solutions, and assisting underrepresented groups in succeeding led her to found Uplevel in 2020 while on maternity leave.Courtney is a proud HBCU graduate with a B.S. in Journalism from Florida A&M University. She also holds an M.S. in Integrated Marketing Communications from Florida State University and an MBA from UCLA’s Anderson School of Management.She is a proud toddler mom, currently residing in Atlanta, GA.",Uplevel Communications Inc. (Uplevel)
Joshua Dzime-Assison,"Josh Dzime-Assison is the CMO of Vendoo and has been a full-time reseller for over 15 years. In addition to being an expert in the reselling space, Josh opened a sneaker store at age 20 and has worked as an image consultant for numerous musicians and professional athletes. He is currently leading the Growth Marketing team at Vendoo.",Vendoo
Steven Moyo,"Dr. Steven C. Moyo (DocMoyo) is a Board-Certified Physician and the CEO/Founder of Welfie. A company focused on delivering health equity to the families that need it most. He completed his residency training at the Osler Internal Medicine Residency Program at The Johns Hopkins Hospital. He obtained his medical doctorate from Michigan State University College of Human Medicine and a Bachelor of Science from McGill University in Montreal, Quebec, Canada. DocMoyo founded Welfie after seeing numerous Black people die preventable deaths. Dr. Steven is a member of the Alpha Omega Alpha and Gold Humanism Honor medical societies. DocMoyo was awarded the 2019 American College of Preventive Medicine Design Hack and the 2020 Blink UX Social Impact Award.",Welfie
Kyla Bolden,"Kyla is the founder and CEO of Wiz Kid Learning. Kyla is an entrepreneur focusing on empowering others through providing access to tech-focused learning opportunities. Kyla holds a Bachelor of Arts from Tufts University in Boston, MA, in which she graduated with honors.",Wiz Kid Learning
